match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,0.1,Galle Marvels,Jaffna Kings,AD Hales,N Dickwella,DM de Silva,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,0.2,Galle Marvels,Jaffna Kings,N Dickwella,AD Hales,DM de Silva,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,0.3,Galle Marvels,Jaffna Kings,N Dickwella,AD Hales,DM de Silva,2,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,0.4,Galle Marvels,Jaffna Kings,N Dickwella,AD Hales,DM de Silva,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,0.5,Galle Marvels,Jaffna Kings,AD Hales,N Dickwella,DM de Silva,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,0.6,Galle Marvels,Jaffna Kings,N Dickwella,AD Hales,DM de Silva,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,1.1,Galle Marvels,Jaffna Kings,N Dickwella,AD Hales,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,1.2,Galle Marvels,Jaffna Kings,N Dickwella,AD Hales,JP Behrendorff,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,1.3,Galle Marvels,Jaffna Kings,AD Hales,N Dickwella,JP Behrendorff,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,1.4,Galle Marvels,Jaffna Kings,N Dickwella,AD Hales,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,1.5,Galle Marvels,Jaffna Kings,N Dickwella,AD Hales,JP Behrendorff,0,0,,,,,,bowled,N Dickwella,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,1.6,Galle Marvels,Jaffna Kings,TL Seifert,AD Hales,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,2.1,Galle Marvels,Jaffna Kings,AD Hales,TL Seifert,FA Allen,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,2.2,Galle Marvels,Jaffna Kings,TL Seifert,AD Hales,FA Allen,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,2.3,Galle Marvels,Jaffna Kings,TL Seifert,AD Hales,FA Allen,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,2.4,Galle Marvels,Jaffna Kings,AD Hales,TL Seifert,FA Allen,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,2.5,Galle Marvels,Jaffna Kings,AD Hales,TL Seifert,FA Allen,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,2.6,Galle Marvels,Jaffna Kings,TL Seifert,AD Hales,FA Allen,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,3.1,Galle Marvels,Jaffna Kings,AD Hales,TL Seifert,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,3.2,Galle Marvels,Jaffna Kings,AD Hales,TL Seifert,JP Behrendorff,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,3.3,Galle Marvels,Jaffna Kings,TL Seifert,AD Hales,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,3.4,Galle Marvels,Jaffna Kings,TL Seifert,AD Hales,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,3.5,Galle Marvels,Jaffna Kings,TL Seifert,AD Hales,JP Behrendorff,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,3.6,Galle Marvels,Jaffna Kings,AD Hales,TL Seifert,JP Behrendorff,0,0,,,,,,caught,AD Hales,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,4.1,Galle Marvels,Jaffna Kings,TL Seifert,J Liyanage,FA Allen,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,4.2,Galle Marvels,Jaffna Kings,J Liyanage,TL Seifert,FA Allen,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,4.3,Galle Marvels,Jaffna Kings,J Liyanage,TL Seifert,FA Allen,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,4.4,Galle Marvels,Jaffna Kings,TL Seifert,J Liyanage,FA Allen,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,4.5,Galle Marvels,Jaffna Kings,TL Seifert,J Liyanage,FA Allen,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,4.6,Galle Marvels,Jaffna Kings,J Liyanage,TL Seifert,FA Allen,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,5.1,Galle Marvels,Jaffna Kings,TL Seifert,J Liyanage,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,5.2,Galle Marvels,Jaffna Kings,TL Seifert,J Liyanage,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,5.3,Galle Marvels,Jaffna Kings,TL Seifert,J Liyanage,JP Behrendorff,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,5.4,Galle Marvels,Jaffna Kings,J Liyanage,TL Seifert,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,5.5,Galle Marvels,Jaffna Kings,J Liyanage,TL Seifert,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,5.6,Galle Marvels,Jaffna Kings,J Liyanage,TL Seifert,JP Behrendorff,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,6.1,Galle Marvels,Jaffna Kings,TL Seifert,J Liyanage,AM Fernando,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,6.2,Galle Marvels,Jaffna Kings,TL Seifert,J Liyanage,AM Fernando,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,6.3,Galle Marvels,Jaffna Kings,TL Seifert,J Liyanage,AM Fernando,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,6.4,Galle Marvels,Jaffna Kings,J Liyanage,TL Seifert,AM Fernando,2,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,6.5,Galle Marvels,Jaffna Kings,J Liyanage,TL Seifert,AM Fernando,0,0,,,,,,caught,J Liyanage,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,6.6,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,AM Fernando,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,7.1,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,7.2,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,7.3,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,7.4,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,V Viyaskanth,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,7.5,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,7.6,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,V Viyaskanth,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,8.1,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,AM Fernando,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,8.2,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,AM Fernando,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,8.3,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,AM Fernando,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,8.4,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,AM Fernando,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,8.5,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,AM Fernando,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,8.6,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,AM Fernando,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,9.1,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,9.2,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,V Viyaskanth,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,9.3,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,9.4,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,9.5,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,6,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,9.6,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,10.1,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,Azmatullah Omarzai,6,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,10.2,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,Azmatullah Omarzai,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,10.3,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,Azmatullah Omarzai,2,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,10.4,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,Azmatullah Omarzai,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,10.5,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,Azmatullah Omarzai,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,10.6,Galle Marvels,Jaffna Kings,PBB Rajapaksa,TL Seifert,Azmatullah Omarzai,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,11.1,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,6,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,11.2,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,6,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,11.3,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,6,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,11.4,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,11.5,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,11.6,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,V Viyaskanth,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,12.1,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,AM Fernando,0,1,1,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,12.2,Galle Marvels,Jaffna Kings,TL Seifert,PBB Rajapaksa,AM Fernando,0,0,,,,,,bowled,TL Seifert,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,12.3,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,AM Fernando,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,12.4,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,AM Fernando,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,12.5,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,AM Fernando,6,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,12.6,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,AM Fernando,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,12.7,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,AM Fernando,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,13.1,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,KIC Asalanka,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,13.2,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,KIC Asalanka,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,13.3,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,KIC Asalanka,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,13.4,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,KIC Asalanka,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,13.5,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,KIC Asalanka,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,13.6,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,KIC Asalanka,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,14.1,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,DM de Silva,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,14.2,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,DM de Silva,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,14.3,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,DM de Silva,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,14.4,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,DM de Silva,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,14.5,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,DM de Silva,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,14.6,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,DM de Silva,1,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,15.1,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,KIC Asalanka,6,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,15.2,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,KIC Asalanka,6,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,15.3,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,KIC Asalanka,0,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,15.4,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,KIC Asalanka,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,15.5,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,KIC Asalanka,6,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,15.6,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,KIC Asalanka,6,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,16.1,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,JP Behrendorff,2,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,16.2,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,JP Behrendorff,0,1,1,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,16.3,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,JP Behrendorff,4,0,,,,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,16.4,Galle Marvels,Jaffna Kings,SSD Arachchige,PBB Rajapaksa,JP Behrendorff,0,1,,,1,,,,,,
1428482,2024,2024-07-21,"R Premadasa Stadium, Colombo",1,16.5,Galle Marvels,Jaffna Kings,PBB Rajapaksa,SSD Arachchige,JP Behrendorff,1,0,,,,,,,,,
