match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,0.1,Galle Marvels,Dambulla Sixers,N Dickwella,AD Hales,N Thushara,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,0.2,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Thushara,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,0.3,Galle Marvels,Dambulla Sixers,N Dickwella,AD Hales,N Thushara,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,0.4,Galle Marvels,Dambulla Sixers,N Dickwella,AD Hales,N Thushara,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,0.5,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Thushara,4,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,0.6,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Thushara,0,1,1,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,0.7,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Thushara,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,1.1,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,D Madushanka,0,1,1,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,1.2,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,D Madushanka,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,1.3,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,D Madushanka,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,1.4,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,D Madushanka,6,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,1.5,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,D Madushanka,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,1.6,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,D Madushanka,0,4,,,,4,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,1.7,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,D Madushanka,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,2.1,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Thushara,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,2.2,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Thushara,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,2.3,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Thushara,4,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,2.4,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Thushara,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,2.5,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Thushara,4,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,2.6,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Thushara,4,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,3.1,Galle Marvels,Dambulla Sixers,N Dickwella,AD Hales,N Pradeep,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,3.2,Galle Marvels,Dambulla Sixers,N Dickwella,AD Hales,N Pradeep,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,3.3,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Pradeep,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,3.4,Galle Marvels,Dambulla Sixers,N Dickwella,AD Hales,N Pradeep,0,3,,,3,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,3.5,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,N Pradeep,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,3.6,Galle Marvels,Dambulla Sixers,N Dickwella,AD Hales,N Pradeep,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,4.1,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,D Madushanka,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,4.2,Galle Marvels,Dambulla Sixers,AD Hales,N Dickwella,D Madushanka,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,4.3,Galle Marvels,Dambulla Sixers,N Dickwella,AD Hales,D Madushanka,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,4.4,Galle Marvels,Dambulla Sixers,N Dickwella,AD Hales,D Madushanka,4,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,4.5,Galle Marvels,Dambulla Sixers,N Dickwella,AD Hales,D Madushanka,0,0,,,,,,caught,N Dickwella,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,4.6,Galle Marvels,Dambulla Sixers,TL Seifert,AD Hales,D Madushanka,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,5.1,Galle Marvels,Dambulla Sixers,TL Seifert,AD Hales,N Pradeep,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,5.2,Galle Marvels,Dambulla Sixers,AD Hales,TL Seifert,N Pradeep,2,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,5.3,Galle Marvels,Dambulla Sixers,AD Hales,TL Seifert,N Pradeep,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,5.4,Galle Marvels,Dambulla Sixers,TL Seifert,AD Hales,N Pradeep,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,5.5,Galle Marvels,Dambulla Sixers,AD Hales,TL Seifert,N Pradeep,4,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,5.6,Galle Marvels,Dambulla Sixers,AD Hales,TL Seifert,N Pradeep,2,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,6.1,Galle Marvels,Dambulla Sixers,TL Seifert,AD Hales,MADI Hemantha,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,6.2,Galle Marvels,Dambulla Sixers,TL Seifert,AD Hales,MADI Hemantha,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,6.3,Galle Marvels,Dambulla Sixers,TL Seifert,AD Hales,MADI Hemantha,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,6.4,Galle Marvels,Dambulla Sixers,TL Seifert,AD Hales,MADI Hemantha,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,6.5,Galle Marvels,Dambulla Sixers,AD Hales,TL Seifert,MADI Hemantha,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,6.6,Galle Marvels,Dambulla Sixers,TL Seifert,AD Hales,MADI Hemantha,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,7.1,Galle Marvels,Dambulla Sixers,TL Seifert,AD Hales,Mohammad Nabi,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,7.2,Galle Marvels,Dambulla Sixers,AD Hales,TL Seifert,Mohammad Nabi,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,7.3,Galle Marvels,Dambulla Sixers,AD Hales,TL Seifert,Mohammad Nabi,0,0,,,,,,caught,AD Hales,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,7.4,Galle Marvels,Dambulla Sixers,PBB Rajapaksa,TL Seifert,Mohammad Nabi,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,7.5,Galle Marvels,Dambulla Sixers,PBB Rajapaksa,TL Seifert,Mohammad Nabi,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,7.6,Galle Marvels,Dambulla Sixers,PBB Rajapaksa,TL Seifert,Mohammad Nabi,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,8.1,Galle Marvels,Dambulla Sixers,TL Seifert,PBB Rajapaksa,MADI Hemantha,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,8.2,Galle Marvels,Dambulla Sixers,PBB Rajapaksa,TL Seifert,MADI Hemantha,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,8.3,Galle Marvels,Dambulla Sixers,TL Seifert,PBB Rajapaksa,MADI Hemantha,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,8.4,Galle Marvels,Dambulla Sixers,TL Seifert,PBB Rajapaksa,MADI Hemantha,4,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,8.5,Galle Marvels,Dambulla Sixers,TL Seifert,PBB Rajapaksa,MADI Hemantha,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,8.6,Galle Marvels,Dambulla Sixers,PBB Rajapaksa,TL Seifert,MADI Hemantha,0,0,,,,,,lbw,PBB Rajapaksa,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,9.1,Galle Marvels,Dambulla Sixers,TL Seifert,J Liyanage,Mohammad Nabi,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,9.2,Galle Marvels,Dambulla Sixers,TL Seifert,J Liyanage,Mohammad Nabi,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,9.3,Galle Marvels,Dambulla Sixers,TL Seifert,J Liyanage,Mohammad Nabi,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,9.4,Galle Marvels,Dambulla Sixers,TL Seifert,J Liyanage,Mohammad Nabi,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,9.5,Galle Marvels,Dambulla Sixers,J Liyanage,TL Seifert,Mohammad Nabi,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,9.6,Galle Marvels,Dambulla Sixers,J Liyanage,TL Seifert,Mohammad Nabi,2,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,10.1,Galle Marvels,Dambulla Sixers,TL Seifert,J Liyanage,MADI Hemantha,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,10.2,Galle Marvels,Dambulla Sixers,TL Seifert,J Liyanage,MADI Hemantha,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,10.3,Galle Marvels,Dambulla Sixers,TL Seifert,J Liyanage,MADI Hemantha,0,1,,,,1,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,10.4,Galle Marvels,Dambulla Sixers,J Liyanage,TL Seifert,MADI Hemantha,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,10.5,Galle Marvels,Dambulla Sixers,J Liyanage,TL Seifert,MADI Hemantha,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,10.6,Galle Marvels,Dambulla Sixers,TL Seifert,J Liyanage,MADI Hemantha,0,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,11.1,Galle Marvels,Dambulla Sixers,J Liyanage,TL Seifert,Mohammad Nabi,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,11.2,Galle Marvels,Dambulla Sixers,TL Seifert,J Liyanage,Mohammad Nabi,1,0,,,,,,,,,
1428474,2024,2024-07-14,"R Premadasa Stadium, Colombo",1,11.3,Galle Marvels,Dambulla Sixers,J Liyanage,TL Seifert,Mohammad Nabi,0,0,,,,,,,,,
